name,category,code
Beaming Face With Smiling Eyes,Emoji,😁
Face With Tears of Joy,Emoji,😂
Rolling on the Floor Laughing,Emoji,🤣
Grinning Face With Big Eyes,Emoji,😃
Grinning Face With Smiling Eyes,Emoji,😄
Grinning Face With Sweat,Emoji,😅
Grinning Squinting Face,Emoji,😆
Winking Face,Emoji,😉
Smiling Face With Smiling Eyes,Emoji,😊
Face Savoring Food,Emoji,😋
Smiling Face With Sunglasses,Emoji,😎
Smiling Face With Heart-Eyes,Emoji,😍
Face Blowing a Kiss,Emoji,😘
Kissing Face,Emoji,😗
Kissing Face With Smiling Eyes,Emoji,😙
Kissing Face With Closed Eyes,Emoji,😚
Smiling Face,Emoji,☺
Slightly Smiling Face,Emoji,🙂
Hugging Face,Emoji,🤗
Star-Struck,Emoji,🤩
Thinking Face,Emoji,🤔
Face With Raised Eyebrow,Emoji,🤨
Neutral Face,Emoji,😐
Expressionless Face,Emoji,😑
Face Without Mouth,Emoji,😶
Face With Rolling Eyes,Emoji,🙄
Smirking Face,Emoji,😏
Persevering Face,Emoji,😣
Sad but Relieved Face,Emoji,😥
Face With Open Mouth,Emoji,😮
Zipper-Mouth Face,Emoji,🤐
Hushed Face,Emoji,😯
Sleepy Face,Emoji,😪
Tired Face,Emoji,😫
Sleeping Face,Emoji,😴
Relieved Face,Emoji,😌
Face With Tongue,Emoji,😛
Winking Face With Tongue,Emoji,😜
Squinting Face With Tongue,Emoji,😝
Drooling Face,Emoji,🤤
Unamused Face,Emoji,😒
Downcast Face With Sweat,Emoji,😓
Pensive Face,Emoji,😔
Confused Face,Emoji,😕
Upside-Down Face,Emoji,🙃
Money-Mouth Face,Emoji,🤑
Astonished Face,Emoji,😲
Frowning Face,Emoji,☹
Slightly Frowning Face,Emoji,🙁
Confounded Face,Emoji,😖
Disappointed Face,Emoji,😞
Worried Face,Emoji,😟
Face With Steam From Nose,Emoji,😤
Crying Face,Emoji,😢
Loudly Crying Face,Emoji,😭
Frowning Face With Open Mouth,Emoji,😦
Anguished Face,Emoji,😧
Fearful Face,Emoji,😨
Weary Face,Emoji,😩
Exploding Head,Emoji,🤯
Grimacing Face,Emoji,😬
Anxious Face With Sweat,Emoji,😰
Face Screaming in Fear,Emoji,😱
Flushed Face,Emoji,😳
Zany Face,Emoji,🤪
Dizzy Face,Emoji,😵
Pouting Face,Emoji,😡
Angry Face,Emoji,😠
Face With Symbols on Mouth,Emoji,🤬
Face With Medical Mask,Emoji,😷
Face With Thermometer,Emoji,🤒
Face With Head-Bandage,Emoji,🤕
Nauseated Face,Emoji,🤢
Face Vomiting,Emoji,🤮
Sneezing Face,Emoji,🤧
Smiling Face With Halo,Emoji,😇
Cowboy Hat Face,Emoji,🤠
Clown Face,Emoji,🤡
Lying Face,Emoji,🤥
Shushing Face,Emoji,🤫
Face With Hand Over Mouth,Emoji,🤭
Face With Monocle,Emoji,🧐
Nerd Face,Emoji,🤓
Smiling Face With Horns,Emoji,😈
Angry Face With Horns,Emoji,👿
Ogre,Emoji,👹
Goblin,Emoji,👺
Skull,Emoji,💀
Ghost,Emoji,👻
Alien,Emoji,👽
Robot Face,Emoji,🤖
Pile of Poo,Emoji,💩
Grinning Cat Face,Emoji,😺
Grinning Cat Face With Smiling Eyes,Emoji,😸
Cat Face With Tears of Joy,Emoji,😹
Smiling Cat Face With Heart-Eyes,Emoji,😻
Cat Face With Wry Smile,Emoji,😼
Kissing Cat Face,Emoji,😽
Weary Cat Face,Emoji,🙀
Crying Cat Face,Emoji,😿
Pouting Cat Face,Emoji,😾
Baby,Emoji,👶
Boy,Emoji,👦
Girl,Emoji,👧
Man,Emoji,👨
Woman,Emoji,👩
Old Man,Emoji,👴
Old Woman,Emoji,👵
